Symbol,Name,Exchange,Type,Category,Currency,Unit,LastPrice,YearLow,YearHigh,MarketCapitalisation,AverageDailyVolume
EXPR,Express Inc.,NYQ,EQUITY,Apparel Stores,USD,Share,18.25,11.90,18.91,1.59B,1537100
ANF,Abercrombie & Fitch Co.,NYQ,EQUITY,Apparel Stores,USD,Share,21.98,19.34,45.50,1.57B,2683090
SCVL,Shoe Carnival Inc.,NMS,EQUITY,Apparel Stores,USD,Share,28.39,16.68,30.00,595.88M,77446
PSUN,Pacific Sunwear of California Inc.,NMS,EQUITY,Apparel Stores,USD,Share,1.29,1.00,3.05,72.40M,536524
BODY,Body Central Corp.,PNK,EQUITY,Apparel Stores,USD,Share,0.070,0.050,7.000,100223.00,9314
DEST,Destination Maternity Corporation,NMS,EQUITY,Apparel Stores,USD,Share,11.63,9.98,23.19,157.55M,134490
JWN,Nordstrom Inc.,NYQ,EQUITY,Apparel Stores,USD,Share,74.87,64.92,83.16,14.86B,1224970
TTI.F,TOM TAILOR HLDG N,FRA,EQUITY,Apparel Stores,EUR,Share,9.705,8.800,15.120,,2205
LUX,Luxottica Group SpA,NYQ,EQUITY,Apparel Stores,USD,Share,67.32,44.87,70.24,32.84B,59510
IXD.DE,Industria de Diseno Textil SA,GER,EQUITY,Apparel Stores,,Share,,,,,
CTU-A.TO,Le Chateau Inc.,TOR,EQUITY,Apparel Stores,CAD,Share,0.65,0.46,1.97,16.48M,2443
CACH,Cache Inc.,NMS,EQUITY,Apparel Stores,,Share,0,,,,
AVRN,Avra Inc.,OBB,EQUITY,Appliances,USD,Share,0.32,0.11,2.48,20.92M,39287
IMMR,Immersion Corporation,NMS,EQUITY,Application Software,USD,Share,12.22,7.20,14.10,361.67M,264632
QADA,QAD Inc.,NMS,EQUITY,Application Software,USD,Share,26.19,17.05,27.87,514.21M,72438
IRBT,iRobot Corporation,NMS,EQUITY,Appliances,USD,Share,32.40,28.05,38.88,963.35M,320708
WHR,Whirlpool Corp.,NYQ,EQUITY,Appliances,USD,Share,181.33,135.37,217.11,13.82B,1013690
EXNT,Enxnet Inc.,PNK,EQUITY,Application Software,USD,Share,0.011,0.003,0.095,351477.00,13046
RALY,Rally Software Development Corp.,NYQ,EQUITY,Application Software,USD,Share,18.59,8.24,19.81,,559414
MBLY,Mobileye N.V.,NYQ,EQUITY,Application Software,USD,Share,51.71,31.11,60.28,12.69B,3468650
FALC,Falconstor Software Inc.,NGM,EQUITY,Application Software,USD,Share,1.53,0.96,1.68,60.28M,48938
BIRT,Actuate Corporation,NMS,EQUITY,Application Software,,Share,0,3,7,,
TXTR,Textura Corporation,NYQ,EQUITY,Application Software,USD,Share,29.31,19.37,31.23,749.23M,146770
MATR,Mattersight Corporation,NGM,EQUITY,Application Software,USD,Share,6.02,4.41,7.50,150.69M,51654
MEDA,Media Analytics Corporation,PNK,EQUITY,Application Software,USD,Share,0.0042,0.0030,0.1200,1.29M,145952
CHYR,ChyronHego Corp.,NGM,EQUITY,Application Software,,Share,0,2,4,,54393
CMCM,Cheetah Mobile Inc.,NYQ,EQUITY,Application Software,USD,Share,30.74,14.76,36.63,3.60B,1572920
BSQR,BSQUARE Corp.,NGM,EQUITY,Application Software,USD,Share,7.20,2.82,8.00,82.49M,239065
FTNT,Fortinet Inc.,NMS,EQUITY,Application Software,USD,Share,41.20,23.08,44.12,7.23B,1671300
FXIT,Forex International Trading Corp.,PNK,EQUITY,Application Software,,Share,0,,,,
IMPV,Imperva Inc.,NYQ,EQUITY,Application Software,USD,Share,64.62,21.59,69.98,2.10B,488367
ACTA,Actua Corporation,NMS,EQUITY,Application Software,USD,Share,13.57,12.41,20.49,523.66M,175298
GOMO,Sungy Mobile Limited,NGM,EQUITY,Application Software,USD,Share,4.67,3.25,11.88,145.21M,54841
ORCL,Oracle Corporation,NYQ,EQUITY,Application Software,USD,Share,42.29,35.82,46.71,176.83B,14548800
CTRX,Catamaran Corporation,NMS,EQUITY,Application Software,USD,Share,60.70,39.40,61.43,12.77B,2918550
TISA,Top Image Systems Ltd.,NCM,EQUITY,Application Software,USD,Share,3.73,2.80,4.70,65.61M,28290
EXA,Exa Corporation,NGM,EQUITY,Application Software,USD,Share,11.18,8.61,12.89,160.98M,28176
GLSO,GlassesOff Inc.,OBB,EQUITY,Application Software,USD,Share,2.15,0.48,13.20,9.10M,830
STMP,Stamps.com Inc.,NMS,EQUITY,Application Software,USD,Share,71.69,30.48,75.50,1.22B,156894
DTSI,DTS Inc.,NMS,EQUITY,Application Software,USD,Share,31.02,17.85,38.24,516.15M,141395
SYNA,Synaptics Inc.,NMS,EQUITY,Application Software,USD,Share,93.27,58.22,102.50,3.15B,840087
MOBI,Sky-mobi Limited,NGM,EQUITY,Application Software,USD,Share,4.82,3.28,10.56,122.42M,364119
CATI,Clone Algo Technologies Inc.,OBB,EQUITY,Application Software,USD,Share,0.00,12.00,12.00,,
SAP,SAP SE,NYQ,EQUITY,Application Software,USD,Share,72.71,62.82,82.70,87.49B,950902
MGIC,Magic Software Enterprises Ltd.,NMS,EQUITY,Application Software,USD,Share,6.57,5.34,7.78,282.00M,21841
SAAX,Nouveau Ventures Inc.,PNK,EQUITY,Application Software,USD,Share,0.44,0.08,1.00,22.87M,703
AGYS,Agilysys Inc.,NMS,EQUITY,Application Software,USD,Share,9.31,8.72,13.64,217.48M,41492
