Symbol,Name,Exchange,Type,Category,Currency,Unit,LastPrice,YearLow,YearHigh,MarketCapitalisation,AverageDailyVolume
GND.PA,Norbert Dentressangle S.A.,PAR,equity,Air Delivery & Freight Services,EUR,Share,218.00,,221.60,2.13B,11471
WNL.F,WILH. WILHELMSEN,FRA,equity,Air Delivery & Freight Services,EUR,Share,5.597,,6.664,,100
NRINTER.BO,NR International Ltd.,BSE,equity,Air Delivery & Freight Services,,Share,,,,,
CGOA.SG,MODUSLINK GLBL SOLS,STU,equity,Air Delivery & Freight Services,,Share,,,,,
CNR,China Metro-Rural Holdings Limited,ASE,equity,Air Delivery & Freight Services,USD,Share,1.04,,1.55,74.87M,12892
TOL.AX,Toll Holdings Limited,ASX,equity,Air Delivery & Freight Services,AUD,Share,,,,,
XUN.SG,SHUN TAK HLDGS,STU,equity,Air Delivery & Freight Services,EUR,Share,0.496,,0.543,,303
PVI.V,Pro trans Ventures Inc.,VAN,equity,Air Delivery & Freight Services,,Share,,,,,
XJL.F,CHINA MET-RURAL HLD,FRA,equity,Air Delivery & Freight Services,EUR,Share,0.869,,1.095,,
JLWT,Janel World Trade Ltd.,PNK,equity,Air Delivery & Freight Services,,Share,0,,,,
DPW.DE,Deutsche Post AG,GER,equity,Air Delivery & Freight Services,EUR,Share,27.01,,31.18,34.23B,4616260
FRE.NZ,Freightways Limited,NZE,equity,Air Delivery & Freight Services,NZD,Share,5.99,,6.40,880.51M,182795
KPL.F,KEPPEL TEL & TRANSP,FRA,equity,Air Delivery & Freight Services,EUR,Share,1.024,,1.298,,
KSC.AX,K & S Corporation Limited,ASX,equity,Air Delivery & Freight Services,AUD,Share,1.38,,1.65,155.63M,13150
QUB.AX,Qube Holdings Limited,ASX,equity,Air Delivery & Freight Services,AUD,Share,2.55,,3.05,2.57B,3285540
MFT.NZ,Mainfreight Limited,NZE,equity,Air Delivery & Freight Services,NZD,Share,15.80,,16.35,1.51B,69254
HUBG,Hub Group Inc.,NMS,equity,Air Delivery & Freight Services,USD,Share,41.97,,51.47,1.52B,310586
CHRW,CH Robinson Worldwide Inc.,NMS,equity,Air Delivery & Freight Services,USD,Share,63.22,,77.49,9.38B,1692890
XUN.F,SHUN TAK HLDGS,FRA,equity,Air Delivery & Freight Services,EUR,Share,0.493,,0.568,,1400
UTIW,UTi Worldwide Inc.,NMS,equity,Air Delivery & Freight Services,USD,Share,9.78,,14.75,973.08M,1077490
RMG.L,Royal Mail plc,LSE,equity,Air Delivery & Freight Services,GBp,Share,512.58,,532.50,5.19B,3987110
WGI.V,Wheels Group Inc.,VAN,equity,Air Delivery & Freight Services,,Share,,,,,
CONCOR.NS,Container Corporation of India Ltd.,NSI,equity,Air Delivery & Freight Services,,Share,,,,,
WMC.MU,ALUMINA SP ADR,MUN,equity,Aluminum,EUR,Share,4.59,,5.53,,
XUN.MU,SHUN TAK HLDGS,MUN,equity,Air Delivery & Freight Services,EUR,Share,0.53,,0.55,,2000
FDX,FedEx Corporation,NYQ,equity,Air Delivery & Freight Services,USD,Share,175.47,,185.19,48.46B,1501780
ACH,Aluminum Corporation Of China Limited,NYQ,equity,Aluminum,USD,Share,13.17,,17.44,5.12B,210425
ORT.TO,Orbite Aluminae Inc,TOR,equity,Aluminum,CAD,Share,0.25,,0.57,81.66M,783289
HINDALCO.NS,Hindalco Industries Ltd.,NSI,equity,Aluminum,,Share,,,,,
HINDALCO.BO,Hindalco Industries Ltd.,BSE,equity,Aluminum,,Share,,,,,
NOR,Noranda Aluminum Holding Corp.,NYQ,equity,Aluminum,USD,Share,1.15,,5.64,41.53M,1667640
ACHN.MX,Aluminum Corporation Of China Limited,MEX,equity,Aluminum,MXN,Share,229.66,,251.00,99.15B,326
WMC.SG,ALUMINA SP ADR,STU,equity,Aluminum,EUR,Share,4.255,,5.538,,35
AA,Alcoa Inc.,NYQ,equity,Aluminum,USD,Share,11.81,,17.75,13.17B,20010200
RUSAL.PA,United Company RUSAL Plc,PAR,equity,Aluminum,EUR,Share,9.70,,14.00,6.52B,798
NATIONALU.NS,National Aluminium Co. Ltd.,NSI,equity,Aluminum,,Share,,,,,
KALU,Kaiser Aluminum Corporation,NMS,equity,Aluminum,USD,Share,83.22,,86.16,1.41B,170521
CENX,Century Aluminum Co.,NMS,equity,Aluminum,USD,Share,11.12,,31.75,855.05M,2413000
GPS.V,BSM Technologies Inc.,VAN,equity,Apparel Stores,CAD,Share,1.05,,2.42,47.56M,120325
NXT.L,Next Plc,LSE,equity,Apparel Stores,GBp,Share,7437.03,,7625.00,11.16B,412489
CBK,Christopher & Banks Corporation,NYQ,equity,Apparel Stores,USD,Share,4.60,,11.22,141.38M,363198
GCO,Genesco Inc.,NYQ,equity,Apparel Stores,USD,Share,66.71,,89.58,1.60B,145838
VCH.MU,CHARLES VOEGELE,MUN,equity,Apparel Stores,EUR,Share,11.67,,14.00,,4
SFH.AX,Specialty Fashion Group Limited,ASX,equity,Apparel Stores,AUD,Share,0.61,,1.01,115.34M,67934
URBN,Urban Outfitters Inc.,NMS,equity,Apparel Stores,USD,Share,35.35,,47.25,4.65B,2571350
RET-A.TO,Reitmans Canada Ltd.,TOR,equity,Apparel Stores,CAD,Share,6.49,,8.48,415.28M,45707
NXG.SG,NEXT,STU,equity,Apparel Stores,EUR,Share,102.305,,107.120,,104
DSW,DSW Inc.,NYQ,equity,Apparel Stores,USD,Share,34.69,,39.58,2.95B,1190350
IXD.SG,INDITEX,STU,equity,Apparel Stores,,Share,,,,,
CHKE,Cherokee Inc.,NMS,equity,Apparel Stores,USD,Share,25.91,,29.72,247.82M,93852
ANN,ANN INC.,NYQ,equity,Apparel Stores,USD,Share,47.84,,48.95,2.10B,1274970
CATO,The Cato Corporation,NYQ,equity,Apparel Stores,USD,Share,38.50,,44.89,1.10B,162054
NWY,New York & Company Inc.,NYQ,equity,Apparel Stores,USD,Share,2.56,,3.77,173.20M,135606
SMRT,Stein Mart Inc.,NMS,equity,Apparel Stores,USD,Share,10.77,,16.65,480.27M,171584
ASNA,Ascena Retail Group Inc.,NMS,equity,Apparel Stores,USD,Share,16.08,,17.61,2.24B,3356320
ULC.DE,UNITEDLABELS Aktiengesellschaft,GER,equity,Apparel Stores,EUR,Share,2.28,,2.99,18.08M,18520
RSO.SG,ROSS STORES,STU,equity,Apparel Stores,EUR,Share,44.295,,50.626,,124
IXD.MU,INDITEX,MUN,equity,Apparel Stores,,Share,,,,,
EXPR,Express Inc.,NYQ,equity,Apparel Stores,USD,Share,18.23,,18.91,1.59B,1534740
KMD.AX,Kathmandu Holdings Limited,ASX,equity,Apparel Stores,AUD,Share,1.31,,3.25,293.28M,806312
ROST,Ross Stores Inc.,NMS,equity,Apparel Stores,USD,Share,40.10,,52.49,21.57B,4307660
SSI,Stage Stores Inc.,NYQ,equity,Apparel Stores,USD,Share,17.45,,23.26,580.81M,540059
JYE.F,JOYCE BOUTIQUE,FRA,equity,Apparel Stores,EUR,Share,0.052,,0.058,,
SCVL,Shoe Carnival Inc.,NMS,equity,Apparel Stores,USD,Share,28.37,,30.00,595.88M,78092
ANF,Abercrombie & Fitch Co.,NYQ,equity,Apparel Stores,USD,Share,21.96,,45.50,1.57B,2689850
PSUN,Pacific Sunwear of California Inc.,NMS,equity,Apparel Stores,USD,Share,1.30,,3.05,72.40M,537095
BODY,Body Central Corp.,PNK,equity,Apparel Stores,USD,Share,0.070,,7.000,100223.00,9405
DEST,Destination Maternity Corporation,NMS,equity,Apparel Stores,USD,Share,11.64,,23.19,157.55M,132205
JWN,Nordstrom Inc.,NYQ,equity,Apparel Stores,USD,Share,74.78,,83.16,14.86B,1226620
TTI.F,TOM TAILOR HLDG N,FRA,equity,Apparel Stores,EUR,Share,9.705,,15.120,,2089
LUX,Luxottica Group SpA,NYQ,equity,Apparel Stores,USD,Share,67.29,,70.24,32.84B,59641
IXD.DE,Industria de Diseno Textil SA,GER,equity,Apparel Stores,,Share,,,,,
CTU-A.TO,Le Chateau Inc.,TOR,equity,Apparel Stores,CAD,Share,0.65,,1.97,16.48M,2443
CACH,Cache Inc.,NMS,equity,Apparel Stores,,Share,0,,,,
IRBT,iRobot Corporation,NMS,equity,Appliances,USD,Share,32.40,,38.88,963.35M,322773
WHR,Whirlpool Corp.,NYQ,equity,Appliances,USD,Share,181.49,,217.11,13.82B,1014910
AVRN,Avra Inc.,OBB,equity,Appliances,USD,Share,0.32,,2.48,20.92M,43095
IMMR,Immersion Corporation,NMS,equity,Application Software,USD,Share,12.20,,14.46,361.67M,264590
QADA,QAD Inc.,NMS,equity,Application Software,USD,Share,26.15,,27.87,514.21M,72629
RALY,Rally Software Development Corp.,NYQ,equity,Application Software,USD,Share,18.59,,19.81,,559414
EXNT,Enxnet Inc.,PNK,equity,Application Software,USD,Share,0.012,,0.095,351477.00,12729
MATR,Mattersight Corporation,NGM,equity,Application Software,USD,Share,6.00,,7.50,150.69M,52254
MBLY,Mobileye N.V.,NYQ,equity,Application Software,USD,Share,51.50,,60.28,12.69B,3437200
FALC,Falconstor Software Inc.,NGM,equity,Application Software,USD,Share,1.53,,1.68,60.28M,49457
BIRT,Actuate Corporation,NMS,equity,Application Software,,Share,0,,7,,
TXTR,Textura Corporation,NYQ,equity,Application Software,USD,Share,29.32,,31.23,749.23M,147281
MEDA,Media Analytics Corporation,PNK,equity,Application Software,USD,Share,0.0042,,0.1200,1.29M,151875
CHYR,ChyronHego Corp.,NGM,equity,Application Software,,Share,0,,4,,54393
CMCM,Cheetah Mobile Inc.,NYQ,equity,Application Software,USD,Share,30.86,,36.63,3.60B,1567830
BSQR,BSQUARE Corp.,NGM,equity,Application Software,USD,Share,7.20,,8.00,82.49M,238017
FTNT,Fortinet Inc.,NMS,equity,Application Software,USD,Share,41.16,,44.12,7.23B,1675190
FXIT,Forex International Trading Corp.,PNK,equity,Application Software,,Share,0,,,,
IMPV,Imperva Inc.,NYQ,equity,Application Software,USD,Share,64.50,,69.98,2.10B,486751
TISA,Top Image Systems Ltd.,NCM,equity,Application Software,USD,Share,3.73,,4.70,65.61M,27943
ACTA,Actua Corporation,NMS,equity,Application Software,USD,Share,13.55,,20.49,523.66M,175729
GOMO,Sungy Mobile Limited,NGM,equity,Application Software,USD,Share,4.67,,11.95,145.21M,64721
ORCL,Oracle Corporation,NYQ,equity,Application Software,USD,Share,42.33,,46.71,176.83B,14567700
