symbol,name,exchange,type,category
MSCI,MSCI Inc.,NYQ,equity,Application Software
ECOM,ChannelAdvisor Corporation,NYQ,equity,Application Software
MRIN,Marin Software Incorporated,NYQ,equity,Application Software
SMSI,Smith Micro Software Inc.,NMS,equity,Application Software
KEYW,The KEYW Holding Corporation,NMS,equity,Application Software
XNET,Xunlei Limited,NMS,equity,Application Software
EAHC,Explore Anywhere Holding Corp.,PNK,equity,Application Software
EPAZ,Epazz Inc.,PNK,equity,Application Software
JNGW,Jingwei International Limited,PNK,equity,Application Software
VCSY,Vertical Computer Systems Inc.,PNK,equity,Application Software
ARIS,ARI Network Services Inc.,NCM,equity,Application Software
PAR,PAR Technology Corporation,NYQ,equity,Application Software
ADBE,Adobe Systems Inc.,NMS,equity,Application Software
DAEG,Daegis Inc.,NCM,equity,Application Software
XCLL,XcelMobility Inc.,PNK,equity,Application Software
INTU,Intuit Inc.,NMS,equity,Application Software
BK,The Bank of New York Mellon Corporation,NYQ,equity,Asset Management
JAN.DU,JAPAN ASIA INVT,DUS,equity,Asset Management
MCGC,MCG Capital Corporation,NMS,equity,Asset Management
FIG,Fortress Investment Group LLC,NYQ,equity,Asset Management
IHJ.MU,VZ HOLDING N,MUN,equity,Asset Management
WILLAMAGO.NS,Williamson Magor & Co. Limited,NSI,equity,Asset Management
WHG,Westwood Holdings Group Inc.,NYQ,equity,Asset Management
AWN.AX,Arowana International Limited,ASX,equity,Asset Management
XEK.MU,FORTRESS INVEST-A,MUN,equity,Asset Management
XYM.TO,Star Portfolio Corp.,TOR,equity,Asset Management
AHA.AX,AG Financial Ltd,ASX,equity,Asset Management
ZOF.MU,SBI HOLDINGS,MUN,equity,Asset Management
KRD.F,KARDAN NV,FRA,equity,Asset Management
BRW.L,Brewin Dolphin Holdings plc,LSE,equity,Asset Management
VLR-H.V,Valor Ventures Inc.,VAN,equity,Asset Management
WCM-B.TO,Wilmington Capital Management Inc.,TOR,equity,Asset Management
AQU.AX,Aquaint Capital Holdings Limited,ASX,equity,Asset Management
GAE.V,Greenangel Energy Corp.,VAN,equity,Asset Management
CG,The Carlyle Group LP,NMS,equity,Asset Management
MCX.NS,Multi Commodity Exchange of India Limited,NSI,equity,Asset Management
MC,Moelis & Company,NYQ,equity,Asset Management
VTLN.F,VONTOBEL HLDG N,FRA,equity,Asset Management
WP.V,Western Pacific Trust Co.,VAN,equity,Asset Management
AB,AllianceBernstein Holding L.P.,NYQ,equity,Asset Management
MGP.AX,Managed Accounts Holdings Limited,ASX,equity,Asset Management
GLJ.DU,GRENKELEASING,DUS,equity,Asset Management
QVE.AX,QV Equities Limited,ASX,equity,Asset Management
CNS,Cohen & Steers Inc.,NYQ,equity,Asset Management
PGC.NZ,Pyne Gould Corporation Limited,NZE,equity,Asset Management
